id,content,prompt,A,B,C,D,E,answer
10,"TEXTO I Em 2016, foram gerados 44,7 milhões de toneladas de resíduos eletrônicos, um aumento de 8% na comparação com 2014. Especialistas previram um crescimento de mais 17%, para 52,2 milhões de toneladas, até 2021. ; TEXTO II Há ainda quem exporte deliberadamente lixo eletrônico para o Gana. É mais caro reciclar devidamente os resíduos no mundo industrializado, onde até existem os recursos e a tecnologia. Um negócio muito mais lucrativo é vender o lixo eletrônico a negociantes locais, que o importam alegando tratar-se de material usado. Os negociantes depois vendem o lixo aos jovens no mercado, ou noutro lado, que o desmantelam e extraem os fios de cobre. Estes são derretidos em lareiras ao ar livre, poluindo o ar e, muitas vezes, intoxicando diretamente os próprios jovens. ","No contexto das discussões ambientais, as práticas descritas nos textos refletem um padrão de relações derivado do(a):",Exercício pleno da cidadania., Divisão internacional do trabalho. ,Gestão empresarial do toyotismo. ,Concepção sustentável da economia. ,Protecionismo alfandegário dos Estados.,B
11,"Os tropeiros foram figuras decisivas na formação de vilarejos e cidades do Brasil colonial. A palavra tropeiro vem de “tropa” que, no passado, se referia ao conjunto de homens que transportava gado e mercadoria. Por volta do século XVIII, muita coisa era levada de um lugar a outro no lombo de mulas. O tropeirismo acabou associado à atividade mineradora, cujo auge foi a exploração de ouro em Minas Gerais e, mais tarde, em Goiás. A extração de pedras preciosas também atraiu grandes contingentes populacionais para as novas áreas e, por isso, era cada vez mais necessário dispor de alimentos e produtos básicos. A alimentação dos tropeiros era constituída por toucinho, feijão preto, farinha, pimenta-do-reino, café, fubá e coité (um molho de vinagre com fruto cáustico espremido). Nos pousos, os tropeiros comiam feijão quase sem molho com pedaços de carne de sol e toucinho, que era servido com farofa e couve picada. O feijão tropeiro é um dos pratos típicos da cozinha mineira e recebe esse nome porque era preparado pelos cozinheiros das tropas que conduziam o gado. ",  A criação do feijão tropeiro na culinária brasileira está relacionada à  ,atividade comercial exercida pelos homens que trabalhavam nas minas.,atividade culinária exercida pelos moradores cozinheiros que viviam nas regiões das minas.,atividade mercantil exercida pelos homens que transportavam gado e mercadoria.,atividade agropecuária exercida pelos tropeiros que necessitavam dispor de alimentos.,atividade mineradora exercida pelos tropeiros no auge da exploração do ouro.,C
12,"Os manuais de refrigerador apresentam a recomendação de que o equipamento não deve ser instalado próximo a fontes de calor, como fogão e aquecedores, ou em local onde incida diretamente a luz do sol. A instalação em local inadequado prejudica o funcionamento do refrigerador e aumenta o consumo de energia. ",O não atendimento dessa recomendação resulta em aumento do consumo de energia porque,o fluxo de calor por condução no condensador sofre considerável redução.,a temperatura da substância refrigerante no condensador diminui mais rapidamente.,o fluxo de calor promove significativa elevação da temperatura no interior do refrigerador.,a liquefação da substância refrigerante no condensador exige mais trabalho do compressor.,as correntes de convecção nas proximidades do condensador ocorrem com maior dificuldade.,D
13,"Em 2000 tivemos a primeira experiência do futebol feminino em um jogo de videogame, o Mia Hamm Soccer. Doze anos depois, uma petição on-line pedia que a EA Sports incluísse o futebol feminino no Fifa 13. Contudo, só em 2015, com uma nova petição on-line, que arrecadou milhares de assinaturas, tivemos o futebol feminino incluído no Fifa 16. Vendo um nicho de mercado inexplorado, a EA Sports produziu o jogo com 12 seleções femininas e o apresentou como inovação. A empresa sabe que mais de 40% dos praticantes de futebol nos EUA são meninas. Para elas, ver o futebol feminino representado em um jogo de videogame é extremamente importante. Ter o futebol feminino no Fifa 16 é um grande passo para a sua popularização na luta pela igualdade de gênero, num contexto machista, sexista, misógino e homofóbico. ",Os jogos eletrônicos presentes na cultura juvenil podem desempenhar uma relevante função na abordagem do futebol ao,"disseminarem uma modalidade, promovendo a igualdade de gênero.","superarem jogos malsucedidos no mercado, lançados anteriormente.",inovarem a modalidade com novas ofertas de jogos ao mercado.,"explorarem nichos de mercado antes ignorados, produzindo mais lucro.",reforçarem estereótipos de gênero masculino ou feminino nos esportes. ,A
14,"A sombra do cedro vem se encostar no cocho. Primo Ribeiro levantou os ombros: começa a tremer. Com muito atraso. Mas ele tem no baço duas colmeias de bichinhos maldosos, que não se misturam, soltando enxames no sangue em dias alternados. E assim nunca precisa de passar um dia sem tremer. ; O texto de João Guimarães Rosa descreve as manifestações das crises paroxísticas da malária em seu personagem. Essas se caracterizam por febre alta, calafrios, sudorese intensa e tremores, com intervalos de 48 h ou 72 h, dependendo da espécie de Plasmodium. ",Essas crises periódicas ocorrem em razão da,"lise das hemácias, liberando merozoítos e substâncias denominadas hemozoínas.",invasão das hemácias por merozoítos com maturação até a forma esquizonte.,reprodução assexuada dos esporozoítos no fígado do indivíduo infectado.,liberação de merozoítos dos hepatócitos para a corrente sanguínea.,formação de gametócitos dentro das hemácias.,A
15,"Na verdade, o que se chama genericamente de índios é um grupo de mais de trezentos povos que, juntos, falam mais de 180 línguas diferentes. Cada um desses povos possui diferentes histórias, lendas, tradições, conceitos e olhares sobre a vida, sobre a liberdade, sobre o tempo e sobre a natureza. Em comum, tais comunidades apresentam a profunda comunhão com o ambiente em que vivem, o respeito em relação aos indivíduos mais velhos, a preocupação com as futuras gerações, e o senso de que a felicidade individual depende do êxito do grupo. Para eles, o sucesso é resultado de uma construção coletiva. Estas ideias, partilhadas pelos povos indígenas, são indispensáveis para construir qualquer noção moderna de civilização. Os verdadeiros representantes do atraso no nosso país não são os índios, mas aqueles que se pautam por visões preconceituosas e ultrapassadas de “progresso”. ","Considerando-se as informações abordadas no texto, ao iniciá-lo com a expressão “Na verdade”, o autor tem como objetivo principal",expor as características comuns entre os povos indígenas no Brasil e suas ideias modernas e civilizadas.,"trazer uma abordagem inédita sobre os povos indígenas no Brasil e, assim, ser reconhecido como especialista no assunto.","mostrar os povos indígenas vivendo em comunhão com a natureza, e, por isso, sugerir que se deve respeitar o meio ambiente e esses povos.",usar a conhecida oposição entre moderno e antigo como uma forma de respeitar a maneira ultrapassada como vivem os povos indígenas em diferentes regiões do Brasil.,"apresentar informações pouco divulgadas a respeito dos indígenas no Brasil, para defender o caráter desses povos como civilizações, em contraposição a visões preconcebidas.",E
16,"TEXTO I Os segredos da natureza se revelam mais sob a tortura dos experimentos do que no seu curso natural. ; TEXTO II O ser humano, totalmente desintegrado do todo, não percebe mais as relações de equilíbrio da natureza. Age de forma totalmente desarmônica sobre o ambiente, causando grandes desequilíbrios ambientais. ",Os textos indicam uma relação da sociedade diante da natureza caracterizada pela:,objetificação do espaço físico.,retomada do modelo criacionista.,recuperação do legado ancestral.,infalibilidade do método científico.,formação da cosmovisão holística.,A
17,"Nos dias atuais, para as crianças e os adolescentes, a alimentação adequada e balanceada está associada, na maioria das vezes, à busca da forma ideal, segundo padrões ditados pela mídia. Se antes essa preocupação era predominantemente feminina, hoje existem adolescentes tentando emagrecer a qualquer custo: entram e saem de dietas e regimes feitos por conta própria, automedicam-se ou praticam exercícios físicos sem orientação. ",Adolescentes associam que a conquista da “forma ideal” do corpo está relacionada à,adoção de hábitos inadequados à saúde no cotidiano,busca de auxílio médico para o tratamento com fármacos.,adesão a programas oferecidos por academias de ginástica.,atuação da mídia na estética presente no imaginário feminino.,procura de um nutricionista para a realização de dieta e regime.,A
18,"A filosofia é como uma árvore, cujas raízes são a metafísica; o tronco, a física, e os ramos que saem do tronco são todas as outras ciências, que se reduzem a três principais: a medicina, a mecânica e a moral, entendendo por moral a mais elevada e a mais perfeita porque pressupõe um saber integral das outras ciências, e é o último grau da sabedoria. ","Essa construção alegórica de Descartes, acerca da condição epistemológica da filosofia, tem como  objetivo",sustentar a unidade essencial do conhecimento.,refutar o elemento fundamental das crenças.,impulsionar o pensamento especulativo.,recepcionar o método experimental.,incentivar a suspensão dos juízos.,A
19,"A história do Primeiro de Maio de 1890 — na França e na Europa, o primeiro de todos os Primeiros de Maio – é, sob vários aspectos, exemplar. Resultante de um ato político deliberado, essa manifestação ilustra o lado voluntário da construção de uma classe — a classe operária — à qual os socialistas tentam dar uma unidade política e cultural através daquela pedagogia da festa cujo princípio, eficácia e limites há muito tempo tinham sido experimentados pela Revolução Francesa. ","Com base no texto, a fixação dessa data comemorativa tinha por objetivo",valorizar um sentimento burguês. ,afirmar uma identidade coletiva. ,edificar uma memória nacional.,criar uma comunidade cívica. ,definir uma tradição popular.,B
20,"Usei uma conexão via computador, pela primeira vez, em 1988. Morava na França, trabalhando como correspondente da Folha de S. Paulo e concordei em utilizar um laptop Toshiba T1000, equipado com um modem de 1 200 bauds, para transmitir minhas reportagens. O texto entrava direto nos terminais da redação, digitalizado, segundos depois de composto na tela de cristal líquido do pequeno Toshiba. O laptop sequer tinha disco rígido, era tudo comandado por disquete e gravado em disquete. Permitiu-me aposentar não só a Olivetti como o vetusto telex de casa. Em seguida, eu pegava o telefone e chamava a redação para saber se o texto “entrara” bem. Até que, um dia, o engenheiro de informática do jornal me disse que, dali em diante, não precisaríamos usar mais a ligação telefônica internacional tradicional, muito cara, para saber se o texto havia chegado corretamente ou tirar dúvidas sobre o manuseio do computador. Poderíamos fazer aquilo via chat, uma conversa textual na tela do próprio laptop. Essa maravilha seria possível por meio de um programinha de conversação. ",O texto apresenta uma situação de uso das tecnologias de comunicação e informação por um jornalista. A mudança do uso do telefone para o uso do chat evidencia a transformação na dinâmica,"do trabalho, em função das tecnologias de comunicação e informação.",do acesso às informações divulgadas pela mídia digital aos internautas.,da divulgação das notícias pela mídia digital e os impactos provocados no cotidiano.,da valorização de profissionais da imprensa com a chegada das mídias digitais.,dos avanços na área de telejornalismo na ascensão da imprensa internacional.,A
21,"Letters Children and Guns Published: May 7, 2013 To the Editor: Re “Girl’s Death by Gunshot Is Rejected as Symbol” (news article, May 6): I find it abhorrent that the people of Burkesville, Ky., are not willing to learn a lesson from the tragic shooting of a 2-year-old girl by her 5-year-old brother. I am not judging their lifestyle of introducing guns to children at a young age, but I do feel that it’s irresponsible not to practice basic safety with anything potentially lethal — guns, knives, fire and so on. How can anyone justify leaving guns lying around, unlocked and possibly loaded, in a home with two young children? I wish the family of the victim comfort during this difficult time, but to dismiss this as a simple accident leaves open the potential for many more such “accidents” to occur. I hope this doesn’t have to happen several more times for legislators to realize that something needs to be changed. EMILY LOUBATON Brooklyn, May 6, 2013 ","No que diz respeito à tragédia ocorrida em Burkesville, a autora da carta enviada ao The New York Times busca",reconhecer o acidente noticiado como um fato isolado.,responsabilizar o irmão da vítima pelo incidente ocorrido.,apresentar versão diferente da notícia publicada pelo jornal.,expor sua indignação com a negligência de portadores de armas.,reforçar a necessidade de proibição do uso de armas por crianças.,D
22,"As relações do Estado brasileiro com o movimento operário e sindical, bem como as políticas públicas voltadas para as questões sociais durante o primeiro governo da Era Vargas (1930-1945), são temas amplamente estudados pela academia brasileira em seus vários aspectos. São também os temas mais lembrados pela sociedade quando se pensa no legado varguista. ","Durante o governo de Getúlio Vargas, foram desenvolvidas ações de cunho social, dentre as quais se destaca a",disseminação de organizações paramilitares inspiradas nos regimes fascistas europeus.,aprovação de normas que buscavam garantir a posse das terras aos pequenos agricultores.,criação de um conjunto de leis trabalhistas associadas ao controle das representações sindicais.,implementação de um sistema de previdência e seguridade para atender aos trabalhadores rurais.,implantação de associações civis como uma estratégia para aproximar as classes médias e o governo.,C
23,"TEXTO I Uma filosofia da percepção que queira reaprender a ver o mundo restituirá à pintura e às artes em geral seu lugar verdadeiro. ; TEXTO II Os grandes autores de cinema nos pareceram confrontáveis não apenas com pintores, arquitetos, músicos, mas também com pensadores. Eles pensam com imagens, em vez de conceitos. ",De que modo os textos sustentam a existência de um saber ancorado na sensibilidade?,Admitindo o belo como fenômeno transcendental.,Reafirmando a vivência estética como juízo de gosto.,Considerando o olhar como experiência de conhecimento. ,Apontando as formas de expressão como auxiliares da razão.,Estabelecendo a inteligência como implicação das representações.,C
24,"TEXTO I Eles se beijavam no elevador, nos corredores do prédio. Se amavam tanto, que o vizinho solteirão da esquerda guardava por eles uma vermelha inveja. Uma tarde, sem que ninguém soubesse por que, eles se enforcaram no banheiro. Houve muito tumulto, carros da polícia parados em frente ao edifício, as equipes de TV. O sol caía sobre as marquises e a cabeça dos curiosos na rua. Um senhor dizia para uma mulher passando ali: — Eles se suicidaram. Uma comerciária acrescentava: — Dizem que eles se gostavam muito. — Que coisa! Enquanto isso, o solteirão, na janela do seu apartamento, vendo todos lá embaixo, mordia com sabor a carne acesa de uma enorme goiaba. ; TEXTO II Invejoso O carro do vizinho é muito mais possante E aquela mulher dele é tão interessante Por isso ele parece muito mais potente Sua casa foi pintada recentemente E quando encontra o seu colega de trabalho Só pensa em quanto deve ser o seu salário Queria ter a secretária do patrão Mas sua conta bancária já chegou ao chão […] Invejoso Querer o que é dos outros é o seu gozo E fica remoendo até o osso Mas sua fruta só lhe dá o caroço Invejoso O bem alheio é o seu desgosto Queria um palácio suntuoso Mas acabou no fundo desse poço… ","O conto e a letra de canção abordam o mesmo tema, a inveja. Embora empreguem recursos linguísticos diferentes, ambos lançam mão de um mecanismo em comum, que consiste em","referir-se, em terceira pessoa, a um indivíduo qualificado como invejoso.",conferir à inveja aspectos humanos ao fazer dela personagem de narrativa.,expressar o ponto de vista do invejoso por meio da fala de uma personagem.,"dissertar sobre a inveja, apresentando argumentos contrários e favoráveis.",fazer uma descrição do perfil psicológico de alguém caracterizado como invejoso.,A
25,"O senhor Carta a uma jovem que, estando em uma roda em que dava aos presentes o tratamento de você, se dirigiu ao autor chamando-o “o senhor”: Senhora: Aquele a quem chamastes senhor aqui está, de peito magoado e cara triste, para vos dizer que senhor ele não é, de nada, nem de ninguém. Bem o sabeis, por certo, que a única nobreza do plebeu está em não querer esconder sua condição, e esta nobreza tenho eu. Assim, se entre tantos senhores ricos e nobres a quem chamáveis você escolhestes a mim para tratar de senhor, é bem de ver que só poderíeis ter encontrado essa senhoria nas rugas de minha testa e na prata de meus cabelos. Senhor de muitos anos, eis aí; o território onde eu mando é no país do tempo que foi. Essa palavra “senhor”, no meio de uma frase, ergueu entre nós um muro frio e triste. Vi o muro e calei: não é de muito, eu juro, que me acontece essa tristeza; mas também não era a vez primeira. ",A escolha do tratamento que se queira atribuir a alguém geralmente considera as situações específicas de uso social. A violação desse princípio causou um mal-estar no autor da carta. O trecho que descreve essa violação é:,"“Essa palavra, ‘senhor’, no meio de uma frase ergueu entre nós um muro frio e triste.”",“A única nobreza do plebeu está em não querer esconder a sua condição.”,“Só poderíeis ter encontrado essa senhoria nas rugas de minha testa.”,“O território onde eu mando é no país do tempo que foi.”,"“Não é de muito, eu juro, que acontece essa tristeza; mas também não era a vez primeira.”",A
26,"O freio ABS é um sistema que evita que as rodas de um automóvel sejam bloqueadas durante uma frenagem forte e entrem em derrapagem. Testes demonstram que, a partir de uma dada velocidade, a distância de frenagem será menor se for evitado o bloqueio das rodas. ",O ganho na eficiência da frenagem na ausência de bloqueio das rodas resulta do fato de,o coeficiente de atrito estático tornar-se igual ao dinâmico momentos antes da derrapagem,"o coeficiente de atrito estático ser maior que o dinâmico, independentemente da superfície de contato entre os pneus e o pavimento.","o coeficiente de atrito estático ser menor que o dinâmico, independentemente da superfície de contato entre os pneus e o pavimento.","a superfície de contato entre os pneus e o pavimento ser maior com as rodas desbloqueadas, independentemente do coeficiente de atrito.",a superfície de contato entre os pneus e o pavimento ser maior com as rodas desbloqueadas e o coeficiente de atrito estático ser maior que o dinâmico. ,B
27,"  Reciclar é só parte da solução    O lixo é um grande problema da sustentabilidade. Literalmente: todos os anos, cada brasileiro produz 385 kg de resíduos — dá 61 milhões de toneladas no total. O certo seria tentar diminuir ao máximo essa quantidade de lixo. Ou seja, em vez de ter objetos recicláveis, o ideal seria produzir sempre objetos reutilizáveis, o que diminui os resíduos. Mas, enquanto isso não acontece, temos que nos contentar com a reciclagem. E é aí que vem um detalhe perigoso: reciclar o lixo também polui o ambiente e gasta energia. Reciclar vidro, por exemplo, é 15% mais caro do que produzi-lo a partir de matérias-primas virgens. Afinal, é feito basicamente de areia, soda e calcário, que são abundantes na natureza. Então, nenhuma empresa tem interesse em reciclá-lo. Já o alumínio é um supernegócio, porque economiza muita energia. ",O emprego adequado dos elementos de coesão contribui para a construção de um texto argumentativo e para que os objetivos pretendidos pelo autor possam ser alcançados. A análise desses elementos no texto mostra que o conectivo,“ou seja” introduz um esclarecimento sobre a diminuição da quantidade de lixo.,“mas” instaura justificativas para a criação de novos tipos de reciclagem.,C “também” antecede um argumento a favor da reciclagem.,“afinal” retoma uma finalidade para o uso de matériasprimas,“então” reforça a ideia de escassez de matérias-primas na natureza.,A
28,"A exploração de recursos naturais e a ocupação do território brasileiro têm uma longa história de degradação de áreas naturais. É resultado, entre outros fatores, da ausência de uma cultura de ocupação que respeitasse as características de seus biomas. ","Ao longo da história, a apropriação da natureza e de seus recursos pelas sociedades humanas alterou os biomas do planeta. Em relação aos biomas brasileiros, em qual deles esse tipo de processo se fez sentir de forma mais profunda e irreversível?","Na Floresta Amazônica, especialmente a partir da década de 1980, devastada pela construção de rodovias e expansão urbana.","No Cerrado, que abriga muitas espécies de árvores sob risco de extinção, atingido pela mineração e agricultura.","No Pantanal, que abrange parte dos estados de Mato Grosso e Mato Grosso do Sul, degradado pela mineração e pecuária.","Na Mata Atlântica, que hoje abriga 7% da área original, devastada pela exploração da madeira e pelo crescimento urbano.","Na Mata dos Cocais, localizada no Nordeste do país, desmatada pelo assoreamento e pelo cultivo da cana-de-açúcar. ",D
29,"A Mata Atlântica caracteriza-se por uma grande diversidade de epífitas, como as bromélias. Essas plantas estão adaptadas a esse ecossistema e conseguem captar luz, água e nutrientes mesmo vivendo sobre as árvores. ",Essas espécies captam água do(a),organismo das plantas vizinhas,solo através de suas longas raízes.,chuva acumulada entre suas folhas.,seiva bruta das plantas hospedeiras.,comunidade que vive em seu interior.,C
30,"TEXTO I Quando um exército atravessa montanhas, florestas, zonas de precipícios, ou marcha ao longo de desfiladeiros, alagadiços ou pântanos, ou qualquer outro terreno onde a deslocação é árdua, está em terreno difícil. O terreno onde é apertado e a sua saída é tortuosa e onde uma pequena força inimiga pode atacar a minha, embora maior, é cercado. ; TEXTO II O objetivo principal era encontrar e matar Osama Bin Laden. Onde ele se esconde? Não podemos esquecer a dificuldade de ocupação do país, que possui um relevo montanhoso, cheio de cavernas, onde fica fácil, para quem está acostumado com esse relevo, esconder-se. ",As situações apresentadas atestam a importância da relação entre a topografia e o(a),construção de vias terrestres.,preservação do meio ambiente.,preservação do meio ambiente.,intimidação contínua da população local.,domínio cognitivo da configuração espacial.,E
